"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","48"," "," "," "," "," "," "," ","6"
"Bending"," ","8"," "," ","9","36"," ","1"," "
"By hand"," ","15"," "," ","10","24"," ","5"," "
"Carrying less than 5 kg"," ","19","27","8"," "," "," "," "," "
"Carrying more than 5 kg"," ","40","9","5"," "," "," "," "," "
"Congested/cluttered working areas","35"," "," "," "," "," "," "," ","19"
"Exposure to chemicals","42"," "," "," "," "," "," "," ","12"
"Exposure to excessive dust","51"," "," "," "," "," "," "," ","3"
"Exposure to excessive noise /auditory distractions","32"," "," "," "," "," "," "," ","22"
"Exposure to extreme temperatures","51"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","49"
"Exposure to insects or animals (e.g. bed bugs, cats)","47"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","22"," "," "," "," "," "," "," ","32"
"Finger dexterity"," ","15","22","10"," "," ","7"," "," "
"Grasping"," ","10","28","11"," "," ","5"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","27","21"," ","4"," "
"Keyboarding on phone"," ","45"," "," ","1","8"," "," "," "
"Kneeling/squatting"," ","11"," "," ","4","39"," "," "," "
"Lifting less than 5 kg"," ","12","30","11"," "," ","1"," "," "
"Lifting more than 5 kg"," ","21","29","4"," "," "," "," "," "
"Other climbing"," ","50"," "," "," ","4"," "," "," "
"Pinching"," ","26","22","4"," "," ","2"," "," "
"Pulling less than 5 kg"," ","26","26","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","27","23","4"," "," "," "," "," "
"Pushing less than 5 kg"," ","18","32","4"," "," "," "," "," "
"Pushing more than 5 kg"," ","15","37","2"," "," "," "," "," "
"Reaching"," ","10","28","10"," "," ","6"," "," "
"Sitting (Continuous)"," ","19"," "," ","6","29"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","16","35"," ","2"," "
"Stair climbing"," ","23"," "," ","5","25"," ","1"," "
"Standing (Continuous)"," ","8"," "," ","13","23"," ","10"," "
"Standing (Intermittent)"," "," "," "," ","23","20"," ","11"," "
"Travel via car required","54"," "," "," "," "," "," "," "," "
"Travel via public transportation required","52"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","29"," "," ","4","21"," "," "," "
"Use of sharp tools","52"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","12","27"," ","15"," "
"Work only indoors","2"," "," "," "," "," "," "," ","52"
"Work outdoors > 2 hour","53"," "," "," "," "," "," "," ","1"
"Total","546","450","313","75","130","312","21","49","210"
