"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","1","1","5"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","5"," "," ",1
"Follow multiple step commands","1"," "," "," "," ","5","1",1
"Integrating new learning into practice"," "," ","3"," ","4"," "," ",1
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5","2",1
"Practicing good judgement and decision-making"," "," "," ","1","6"," "," ",1
"Problem solving"," "," "," ","1","6"," "," ",1
"Reading electronic documents"," "," ","2","3","2"," "," ",1
"Reading paper documents (handwritten or typed)"," ","2","1","2","2"," "," ",1
"Require instant recall of facts/data","1"," "," "," "," ","3","3",1
"Self-starting/initiating"," "," ","1","1","5"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1"," ","6"," "," ",1
"Total","2","2","10","10","41","13","6",12
