"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes","NA_"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "," ",1
"Bending"," ","4"," "," ","1","2"," "," "," ",1
"By hand"," ","3"," "," "," ","4"," "," "," ",1
"Carrying less than 5 kg"," ","5","2"," "," "," "," "," "," ",1
"Carrying more than 5 kg"," ","6","1"," "," "," "," "," "," ",1
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","2",1
"Exposure to chemicals","7"," "," "," "," "," "," "," "," ",1
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," ",1
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","5",1
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "," ",1
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","3",1
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," "," ",1
"Exposure to strong odors","2"," "," "," "," "," "," "," ","5",1
"Finger dexterity"," ","2","4","1"," "," "," "," "," ",1
"Grasping"," ","3","1","2"," "," ","1"," "," ",1
"Keyboarding on computer or tablet"," "," "," "," ","3","3"," ","1"," ",1
"Keyboarding on phone"," ","7"," "," "," "," "," "," "," ",1
"Kneeling/squatting"," ","4"," "," ","1","2"," "," "," ",1
"Lifting less than 5 kg"," ","5","2"," "," "," "," "," "," ",1
"Lifting more than 5 kg"," ","6","1"," "," "," "," "," "," ",1
"Other climbing"," ","7"," "," "," "," "," "," "," ",1
"Pinching"," ","5","1","1"," "," "," "," "," ",1
"Pulling less than 5 kg"," ","4","2"," "," "," ","1"," "," ",1
"Pulling more than 5 kg"," ","6"," ","1"," "," "," "," "," ",1
"Pushing less than 5 kg"," ","4","2"," "," "," ","1"," "," ",1
"Pushing more than 5 kg"," ","6"," ","1"," "," "," "," "," ",1
"Reaching"," ","3","2","1"," "," ","1"," "," ",1
"Sitting (Continuous)"," ","1"," "," ","3","3"," "," "," ",1
"Sitting (Intermittent)"," "," "," "," ","2","2"," ","3"," ",1
"Stair climbing"," ","3"," "," "," ","4"," "," "," ",1
"Standing (Continuous)"," ","2"," "," "," ","5"," "," "," ",1
"Standing (Intermittent)"," "," "," "," ","1","3"," ","3"," ",1
"Travel via car required","6"," "," "," "," "," "," "," ","1",1
"Travel via public transportation required","6"," "," "," "," "," "," "," ","1",1
"Twisting /awkward posture"," ","4"," "," "," ","3"," "," "," ",1
"Use of sharp tools","6"," "," "," "," "," "," "," ","1",1
"Walking"," "," "," "," ","1","4"," ","2"," ",1
"Work only indoors","4"," "," "," "," "," "," "," ","3",1
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," ","2",1
"Total","75","90","18","7","12","35","4","9","23",39
