"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","2","7"," "," "
"Follow multiple step commands"," "," "," "," "," ","9","3"
"Integrating new learning into practice"," "," ","4","3","5"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","7","4"
"Practicing good judgement and decision-making"," "," ","2","2","8"," "," "
"Problem solving"," "," ","4","2","6"," "," "
"Reading electronic documents"," ","2"," ","9","1"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","7"," "," "," "
"Require instant recall of facts/data"," "," "," "," "," ","9","3"
"Self-starting/initiating"," "," ","6","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","2","5"," "," "
"Total","1","4","33","30","41","25","10"
