"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","2","1"," "," "," ","1"," "," "," "
"Bending"," ","2"," "," ","1"," "," "," ","1"
"By hand","1"," ","1"," ","1"," "," "," ","1"
"Carrying less than 5 kg","1"," ","1","1"," ","1"," "," "," "
"Carrying more than 5 kg","1"," ","2"," "," ","1"," "," "," "
"Congested/cluttered working areas","2","1","1"," "," "," "," "," "," "
"Exposure to chemicals","2"," ","1"," "," ","1"," "," "," "
"Exposure to excessive dust","2","1"," "," "," ","1"," "," "," "
"Exposure to excessive noise /auditory distractions","2"," ","1"," ","1"," "," "," "," "
"Exposure to extreme temperatures","2","1","1"," "," "," "," "," "," "
"Exposure to infectious agents/disease"," ","1"," "," "," ","1"," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","1","1"," "," "," ","1"," "," ","1"
"Exposure to strong odors","2","1","1"," "," "," "," "," "," "
"Finger dexterity","1"," ","1"," ","1","1"," "," "," "
"Grasping","1","1","1"," ","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","1"," "," ","2"
"Keyboarding on phone"," ","1"," "," "," ","1"," "," ","2"
"Kneeling/squatting","1"," ","1"," ","1","1"," "," "," "
"Lifting less than 5 kg"," ","2"," ","1"," "," "," "," ","1"
"Lifting more than 5 kg","1","1","1"," "," "," ","1"," "," "
"Other climbing","1","2"," "," ","1"," "," "," "," "
"Pinching","1","1","1"," ","1"," "," "," "," "
"Pulling less than 5 kg","1","2"," "," "," "," ","1"," "," "
"Pulling more than 5 kg","1","1","1"," "," ","1"," "," "," "
"Pushing less than 5 kg"," ","1"," ","1"," ","1"," "," ","1"
"Pushing more than 5 kg","1","1","1","1"," "," "," "," "," "
"Reaching","1","1","1"," "," "," ","1"," "," "
"Sitting (Continuous)","1"," ","1"," ","1"," "," ","1"," "
"Sitting (Intermittent)","1","1"," "," ","1"," "," ","1"," "
"Stair climbing","1","1"," "," ","1","1"," "," "," "
"Standing (Continuous)","1","1"," "," "," ","2"," "," "," "
"Standing (Intermittent)","1","1"," "," ","2"," "," "," "," "
"Travel via car required","1"," ","1"," "," ","1"," "," ","1"
"Travel via public transportation required","2","1","1"," "," "," "," "," "," "
"Twisting /awkward posture","1","1","1"," ","1"," "," "," "," "
"Use of sharp tools","2","1"," "," ","1"," "," "," "," "
"Walking","1","1"," "," "," ","2"," "," "," "
"Work only indoors","2","1"," ","1"," "," "," "," "," "
"Work outdoors > 1 hour","2","1","1"," "," "," "," "," "," "
"Total","44","34","22","5","15","19","3","2","12"
