"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","4"," "," "," "
"Independent work"," "," ","3","1","1"," "," "
"Work at a fast pace"," ","1","1","3"," "," "," "
"Work under tight deadlines"," ","3","1","1"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","2","2"
"Work with clients who may be aggressive","3"," "," "," "," "," ","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5"," "
"Work with clients with cognitive deficits"," "," "," "," "," ","4","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","1"
"Work with interdisciplinary team members"," "," "," ","5"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","1","3"
"Work with more than one preceptor"," ","1","1","1","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5"," "," "," "," "," "
"Work with other students"," ","2","1","1","1"," "," "
"Total","8","13","7","16","4","18","14"
