"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","1","3"," "," "," "
"By hand"," ","3"," "," "," ","3"," "," "," "
"Carrying less than 5 kg"," ","3","3"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4","2"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","3"," "," "," ","1"," "," "
"Grasping"," ","1","3","2"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","3"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","2","3","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","1","1"," "," "," "," "," "
"Other climbing"," ","4"," "," ","1","1"," "," "," "
"Pinching"," ","2","4"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","3","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","2"," "," "," "," "," "," "
"Reaching"," ","1","3","2"," "," "," "," "," "
"Sitting (Continuous)"," ","2"," "," "," ","3"," ","1"," "
"Sitting (Intermittent)"," ","1"," "," ","2","2"," ","1"," "
"Stair climbing"," ","2"," "," ","1","3"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","3"," ","1"," "
"Standing (Intermittent)"," ","1"," "," ","1","2"," ","2"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","4"," "," "," ","2"," "," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," ","1"
"Walking"," ","1"," "," ","1","4"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "," "
"Total","62","60","30","8","11","35","1","5","22"
