"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","6","1","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","8","1","2"," "," "
"Follow multiple step commands","1"," "," "," ","6","4"
"Integrating new learning into practice"," ","8"," ","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","9","2"
"Practicing good judgement and decision-making"," ","5","1","5"," "," "
"Problem solving"," ","6","1","4"," "," "
"Reading electronic documents"," ","5","3","3"," "," "
"Reading paper documents (handwritten or typed)"," ","2","7","2"," "," "
"Require instant recall of facts/data"," "," "," "," ","5","6"
"Self-starting/initiating"," ","5","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","5","2","4"," "," "
"Total","1","50","17","32","20","12"
