"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","11","3","25"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","9","10","20"," "," "
"Follow multiple step commands","2"," "," "," "," ","30","7"
"Integrating new learning into practice"," "," ","13","8","18"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","32","6"
"Practicing good judgement and decision-making"," "," ","10","2","27"," "," "
"Problem solving"," "," ","11","6","22"," "," "
"Reading electronic documents"," ","4","7","23","5"," "," "
"Reading paper documents (handwritten or typed)"," "," ","9","24","6"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","26","11"
"Self-starting/initiating"," "," ","10","12","17"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","12","4","23"," "," "
"Total","5","4","92","92","163","88","24"
