"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","1","3"," "," "
"Follow multiple step commands","2"," "," "," "," ","3","2"
"Integrating new learning into practice"," "," ","1","2","4"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","6"," "
"Practicing good judgement and decision-making"," "," ","1","1","5"," "," "
"Problem solving"," "," ","1","2","4"," "," "
"Reading electronic documents"," ","2","1","3","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","6"," "," "," "
"Require instant recall of facts/data","4"," "," "," "," ","3"," "
"Self-starting/initiating"," ","1"," ","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","1","2","4"," "," "
"Total","7","5","8","21","29","12","2"
