"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6","1"," "," "
"Independent work"," "," ","2","4","3"," "," "
"Work at a fast pace"," ","2","3","4"," "," "," "
"Work under tight deadlines"," ","3","1","5"," "," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","1","5"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","6","2"
"Work with clients who may be aggressive"," "," "," "," "," ","3","6"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","9"," "
"Work with clients with cognitive deficits","1"," "," "," "," ","3","5"
"Work with clients with multiple diagnoses"," "," "," "," "," ","9"," "
"Work with interdisciplinary team members"," "," ","5","4"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","4"," "," "," "," ","1","4"
"Work with more than one preceptor"," ","6","1","2"," "," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," "," "," "," "," "
"Work with other students"," ","4"," ","5"," "," "," "
"Total","13","24","14","30","4","33","26"
