"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","1","4"," "," "
"Follow multiple step commands"," "," "," "," "," ","4","2"
"Integrating new learning into practice"," "," "," ","1","5"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","5"," "
"Practicing good judgement and decision-making"," "," "," ","1","5"," "," "
"Problem solving"," "," "," ","1","5"," "," "
"Reading electronic documents"," ","1","1","2","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","5"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","4"," "
"Self-starting/initiating"," "," "," ","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," "," ","1","5"," "," "
"Total","3","1","3","14","36","13","2"
