"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","1","7"," "," "," "
"By hand"," ","2"," "," ","1","8"," "," "," "
"Carrying less than 5 kg"," ","4","5","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","11"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","9"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","4","4","1"," "," ","2"," "," "
"Grasping"," ","3","4","2"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","7"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","3","6","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","2"," "," "," "
"Pinching"," ","4","5"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Reaching"," ","3","4","2"," "," ","2"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","5"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2","6"," ","3"," "
"Stair climbing"," ","1"," "," ","1","9"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","6"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","5"," ","2"," "
"Travel via car required","10"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","10"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","6"," "," "," ","5"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","4","6"," ","1"," "
"Work only indoors","4"," "," "," "," "," "," "," ","7"
"Work outdoors > 1 hour","10"," "," "," "," "," "," "," ","1"
"Total","111","107","48","7","20","75","10","8","43"
