"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","1","10"," "," "," "
"By hand"," ","1"," "," ","2","9"," ","1"," "
"Carrying less than 5 kg"," ","3","10"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","10","3"," "," "," "," "," "," "
"Congested/cluttered working areas","10"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","13"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","12"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","11"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","12"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","8"
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","8"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","1","10"," "," "," ","2"," "," "
"Grasping"," "," ","12","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","10"," "," "," "
"Keyboarding on phone"," ","8"," "," ","1","4"," "," "," "
"Kneeling/squatting"," ","6"," "," ","1","6"," "," "," "
"Lifting less than 5 kg"," ","4","7","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","8","4","1"," "," "," "," "," "
"Other climbing"," ","12"," "," "," ","1"," "," "," "
"Pinching"," ","1","11","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","11","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","11","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","10","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","9","4"," "," "," "," "," "," "
"Reaching"," "," ","12","1"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","8"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","6","5"," ","2"," "
"Stair climbing"," ","6"," "," ","1","6"," "," "," "
"Standing (Continuous)"," ","3"," "," ","3","7"," "," "," "
"Standing (Intermittent)"," "," "," "," ","7","6"," "," "," "
"Travel via car required","11"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","11"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","8"," "," "," ","5"," "," "," "
"Use of sharp tools","12"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","10"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","9"
"Work outdoors > 1 hour","12"," "," "," "," "," "," "," ","1"
"Total","144","116","80","5","29","87","3","5","38"
