"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1"," ","4"," "," "
"Follow multiple step commands"," "," "," ","5"," "
"Integrating new learning into practice"," "," ","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","4","1"
"Practicing good judgement and decision-making"," "," ","5"," "," "
"Problem solving"," "," ","5"," "," "
"Reading electronic documents","2","1","2"," "," "
"Reading paper documents (handwritten or typed)","3","2"," "," "," "
"Require instant recall of facts/data"," "," "," ","4","1"
"Self-starting/initiating","1"," ","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","1"," ","4"," "," "
"Total","8","3","34","13","2"
