"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","3","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","9"," "," "," "
"Independent work"," "," ","5","1","4"," "," "
"Work at a fast pace"," "," ","2","4","4"," "," "
"Work under tight deadlines"," ","3","2","4","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","6"
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","1","2"
"Work with clients who may be aggressive","8"," "," "," "," "," ","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","4"
"Work with clients with cognitive deficits","3"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","3"
"Work with interdisciplinary team members"," ","1","2","4","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","6","2"
"Work with more than one preceptor"," ","2","2","4","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","8"," ","2"," "," "," "
"Work with other students"," ","2","4","4"," "," "," "
"Total","24","16","18","32","14","31","25"
