"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3"," ","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","2","3"," "," "
"Follow multiple step commands"," "," "," "," "," ","6","1"
"Integrating new learning into practice"," "," ","2","1","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","1"
"Practicing good judgement and decision-making"," "," ","1","2","4"," "," "
"Problem solving"," "," ","4"," ","3"," "," "
"Reading electronic documents"," ","2","2","3"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","3","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","4","1"
"Self-starting/initiating"," "," ","4","2","1"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","3","1"," "," "
"Total","2","2","24","16","21","16","3"
