"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","5","17"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","9","14"," "," "
"Follow multiple step commands","2"," "," "," "," ","20","5"
"Integrating new learning into practice"," "," ","7","7","13"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","18","7"
"Practicing good judgement and decision-making"," "," ","8","2","17"," "," "
"Problem solving"," "," ","8","6","13"," "," "
"Reading electronic documents"," ","1","3","19","4"," "," "
"Reading paper documents (handwritten or typed)"," ","3","6","15","3"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","17","9"
"Self-starting/initiating"," "," ","9","10","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","9","13"," "," "
"Total","5","4","55","82","102","55","21"
