"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","5"," "," "," "
"By hand"," ","2"," "," ","1","4"," "," "," "
"Carrying less than 5 kg"," ","2","2","2"," "," ","1"," "," "
"Carrying more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease"," "," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","4"," "," "," ","2"," "," "
"Grasping"," ","1","3","1"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","6"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","2"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","6"," "," "," "
"Lifting less than 5 kg"," ","1","3","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","3"," "," "," "
"Pinching"," ","1","4"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","4","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Reaching"," ","1","3","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," ","2","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","5"," "," "," "
"Stair climbing"," ","1"," "," ","1","5"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","1"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","2"," ","2"," "
"Travel via car required","7"," "," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","5"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","3"," ","1"," "
"Work only indoors","3"," "," "," "," "," "," "," ","4"
"Work outdoors > 5 hour","6"," "," "," "," "," "," "," ","1"
"Total","66","48","38","8","18","49","10","4","32"
