"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","10","9","19"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","7","15","15"," "," "
"Follow multiple step commands","2"," "," "," "," ","25","11"
"Integrating new learning into practice"," "," ","10","12","16"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","26","10"
"Practicing good judgement and decision-making"," "," ","11","3","24"," "," "
"Problem solving"," "," ","12","11","15"," "," "
"Reading electronic documents"," ","4","4","26","4"," "," "
"Reading paper documents (handwritten or typed)"," ","5","8","22","3"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","23","13"
"Self-starting/initiating"," ","1","14","13","10"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","9","13","16"," "," "
"Total","6","11","85","124","122","74","34"
