"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","18"," "," "," "," "," "," "," ","2"
"Bending"," ","3"," "," ","2","15"," "," "," "
"By hand"," ","3"," "," ","1","16"," "," "," "
"Carrying less than 5 kg"," ","3","15","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","15","5"," "," "," "," "," "," "
"Congested/cluttered working areas","16"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","20"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","15"," "," "," "," "," "," "," ","5"
"Exposure to extreme temperatures","19"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","13"," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","19"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","16"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","3","9","4"," "," ","4"," "," "
"Grasping"," ","3","10","4"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","6","12"," ","1"," "
"Keyboarding on phone"," ","15"," "," "," ","5"," "," "," "
"Kneeling/squatting"," ","4"," "," ","2","14"," "," "," "
"Lifting less than 5 kg"," ","3","13","2"," "," ","2"," "," "
"Lifting more than 5 kg"," ","10","10"," "," "," "," "," "," "
"Other climbing"," ","15"," "," "," ","5"," "," "," "
"Pinching"," ","3","11","4"," "," ","2"," "," "
"Pulling less than 5 kg"," ","12","7","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","16","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","10","9","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","13","7"," "," "," "," "," "," "
"Reaching"," ","3","10","5"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," ","6","10"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","4","12"," ","4"," "
"Stair climbing"," ","6"," "," ","2","12"," "," "," "
"Standing (Continuous)"," ","3"," "," ","3","13"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","5","13"," ","2"," "
"Travel via car required","12"," "," "," "," "," "," "," ","8"
"Travel via public transportation required","17"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","9"," "," ","1","10"," "," "," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","2","18"," "," "," "
"Work only indoors","5"," "," "," "," "," "," "," ","15"
"Work outdoors > 1 hour","19"," "," "," "," "," "," "," ","1"
"Total","224","155","110","22","34","155","14","10","56"
