"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","19"," "," "," "," "," "," "," ","1"
"Bending"," ","7"," "," ","3","10"," "," "," "
"By hand"," ","5"," "," ","1","14"," "," "," "
"Carrying less than 5 kg"," ","7","12","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","16","4"," "," "," "," "," "," "
"Congested/cluttered working areas","15"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","20"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","19"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","14"," "," "," "," "," "," "," ","6"
"Exposure to extreme temperatures","17"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","13"," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","18"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","16"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","4","9","3"," "," ","4"," "," "
"Grasping"," ","3","11","4"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","6","11"," ","1"," "
"Keyboarding on phone"," ","17"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","8"," "," ","3","9"," "," "," "
"Lifting less than 5 kg"," ","6","11","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","14","6"," "," "," "," "," "," "
"Other climbing"," ","16"," "," "," ","4"," "," "," "
"Pinching"," ","4","11","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","12","6","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","16","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","12","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","14","6"," "," "," "," "," "," "
"Reaching"," ","4","10","4"," "," ","2"," "," "
"Sitting (Continuous)"," ","5"," "," ","6","6"," ","3"," "
"Sitting (Intermittent)"," "," "," "," ","9","8"," ","3"," "
"Stair climbing"," ","9"," "," ","2","9"," "," "," "
"Standing (Continuous)"," ","6"," "," ","4","9"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","7","12"," ","1"," "
"Travel via car required","14"," "," "," "," "," "," "," ","6"
"Travel via public transportation required","19"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","12"," "," ","1","7"," "," "," "
"Use of sharp tools","16"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","3","17"," "," "," "
"Work only indoors","6"," "," "," "," "," "," "," ","14"
"Work outdoors > 1 hour","19"," "," "," "," "," "," "," ","1"
"Total","225","199","97","20","45","119","11","9","55"
