"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","4"," "," "," "," "," ","4",1
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","7"," "," "," ",1
"Independent work"," "," ","4","2","2"," "," ",1
"Work at a fast pace"," ","1"," ","5","2"," "," ",1
"Work under tight deadlines"," ","5","1","2"," "," "," ",1
"Work with clients that speak little or no English"," "," "," "," "," ","5","3",1
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","1","3",1
"Work with clients who may be aggressive","6"," "," "," "," "," ","2",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","2",1
"Work with clients with cognitive deficits"," "," "," "," "," ","4","4",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","2",1
"Work with interdisciplinary team members"," "," "," ","6","2"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","4","3",1
"Work with more than one preceptor"," ","1","2","1","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","3"," ","5"," "," "," ",1
"Work with other students"," ","1","2","3","2"," "," ",1
"Total","15","12","9","31","12","26","23",16
