"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","2","6"," "," "," "
"By hand"," ","1"," "," ","1","8"," "," "," "
"Carrying less than 5 kg"," ","4","4","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","8","2"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","9"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","9"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," ","4"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","9"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," ","5"
"Exposure to strong odors","5"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","4","4"," "," "," ","2"," "," "
"Grasping"," ","3","5"," "," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","7"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","6"," "," "," "
"Lifting less than 5 kg"," ","3","5","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","2"," "," "," "
"Pinching"," ","3","5"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Reaching"," ","3","4","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," ","2","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","3","5"," ","2"," "
"Stair climbing"," ","1"," "," ","1","8"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","4"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","4"," ","2"," "
"Travel via car required","9"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","5"," "," "," ","5"," "," "," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","4","5"," ","1"," "
"Work only indoors","5"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","8"," "," "," "," "," "," "," ","2"
"Total","94","93","46","3","23","68","10","7","46"
