"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," ","1","5"," "," "," "
"By hand"," ","3"," "," ","2","3"," "," "," "
"Carrying less than 5 kg"," ","7","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","7"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","8"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","4"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","1","3","4"," "," "," "," "," "
"Grasping"," "," ","4","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","4"," ","3"," "
"Keyboarding on phone"," ","7"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","3","4","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Other climbing"," ","7"," "," "," ","1"," "," "," "
"Pinching"," ","2","4","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","6","1"," "," "," ","1"," "," "
"Pulling more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","4","3"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","8"," "," "," "," "," "," "," "
"Reaching"," ","1","3","4"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","2","4"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2","4"," ","2"," "
"Stair climbing"," ","4"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","3"," ","2"," "
"Standing (Intermittent)"," "," "," "," ","4"," "," ","4"," "
"Travel via car required","8"," "," "," "," "," "," "," "," "
"Travel via public transportation required","8"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","2"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","4"
"Walking"," "," "," "," ","4","2"," ","2"," "
"Work only indoors","2"," "," "," "," "," "," "," ","6"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," ","2"
"Total","83","88","23","14","19","39","3","14","29"
