"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "," "
"Bending"," ","2"," "," "," ","4"," "," "," "
"By hand"," ","1"," "," ","3","2"," "," "," "
"Carrying less than 5 kg"," ","3","3"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","5"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","6"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "," "
"Exposure to strong odors","4"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","3","1"," "," ","1"," "," "
"Grasping"," "," ","2","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","2"," ","1"," "
"Keyboarding on phone"," ","5"," "," ","1"," "," "," "," "
"Kneeling/squatting"," ","3"," "," ","1","2"," "," "," "
"Lifting less than 5 kg"," ","1","2","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","1"," "," "," "
"Pinching"," ","1","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","1","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4","1","1"," "," "," "," "," "
"Reaching"," ","1","2","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","2"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","2","2"," ","2"," "
"Stair climbing"," ","1"," "," "," ","5"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","2"," ","1"," "
"Travel via car required","5"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","4"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","1","5"," "," "," "
"Work only indoors","1"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "," "
"Total","68","55","23","13","16","33","3","7","16"
