"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","4","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2"," ","3","5"," "," "
"Follow multiple step commands","3"," "," "," "," ","5","2"
"Integrating new learning into practice"," "," ","2","3","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","2"
"Practicing good judgement and decision-making"," "," ","2","2","6"," "," "
"Problem solving"," "," ","3","3","4"," "," "
"Reading electronic documents"," ","4","2","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","8","1"," "," "
"Require instant recall of facts/data","3"," "," "," "," ","3","4"
"Self-starting/initiating"," "," ","2","4","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","6"," "," "
"Total","6","6","17","32","35","16","8"
