"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","17","4","24"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","12","12","21"," "," ",1
"Follow multiple step commands"," "," "," "," "," ","36","9",1
"Integrating new learning into practice"," "," ","14","8","23"," "," ",1
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","34","10",1
"Practicing good judgement and decision-making"," "," ","13","6","26"," "," ",1
"Problem solving"," "," ","17","6","22"," "," ",1
"Reading electronic documents"," ","2","16","21","6"," "," ",1
"Reading paper documents (handwritten or typed)"," ","5","6","29","5"," "," ",1
"Require instant recall of facts/data"," "," "," "," "," ","36","9",1
"Self-starting/initiating"," "," ","14","10","21"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","12","10","23"," "," ",1
"Total","1","7","121","106","171","106","28",12
