"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","2","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","7"," "," "," "
"Independent work"," "," ","4"," ","4"," "," "
"Work at a fast pace"," "," ","2","3","3"," "," "
"Work under tight deadlines"," ","3","2","3"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","6"," "," "," "," "," ","2"
"Work with clients who may be aggressive","7"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","3"
"Work with clients with cognitive deficits","2"," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","2"
"Work with interdisciplinary team members"," ","1","2","3","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","5","2"
"Work with more than one preceptor"," ","1","2","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","2"," "," "," "
"Work with other students"," ","2","3","3"," "," "," "
"Total","19","13","16","24","11","25","20"
