"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," ","1"
"Bending"," ","2"," "," ","2","7"," "," "," "
"By hand"," ","3"," "," ","2","4"," ","2"," "
"Carrying less than 5 kg"," ","4","4","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","7","2","2"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","7"
"Exposure to chemicals","8"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","10"
"Exposure to insects or animals (e.g. bed bugs, cats)","11"," "," "," "," "," "," "," "," "
"Exposure to strong odors","5"," "," "," "," "," "," "," ","6"
"Finger dexterity"," ","4","2","3"," "," ","2"," "," "
"Grasping"," ","2","4","4"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3","7"," "," "," "
"Keyboarding on phone"," ","10"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","5"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","3","5","2"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","4","2"," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","2"," "," "," "
"Pinching"," ","4","5","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","5","4","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","2","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","6","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","3","2"," "," "," "," "," "
"Reaching"," ","2","6","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","6"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","5","6"," "," "," "
"Stair climbing"," ","3"," "," "," ","8"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","6"," "," "," "
"Standing (Intermittent)"," "," "," "," ","8","2"," ","1"," "
"Travel via car required","11"," "," "," "," "," "," "," "," "
"Travel via public transportation required","11"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","4"," "," "," ","7"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","6","3"," ","2"," "
"Work only indoors"," "," "," "," "," "," "," "," ","11"
"Work outdoors > 1 hour","11"," "," "," "," "," "," "," "," "
"Total","109","95","47","28","30","65","5","5","45"
