"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "
"Bending"," ","1"," ","1","3"," "," "
"By hand"," ","1"," "," ","4"," "," "
"Carrying less than 5 kg"," ","1","4"," "," "," "," "
"Carrying more than 5 kg"," ","4","1"," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," ","1"
"Exposure to excessive dust","5"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," ","2"
"Exposure to infectious agents/disease","2"," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," ","2"
"Exposure to strong odors","4"," "," "," "," "," ","1"
"Finger dexterity"," ","1","4"," "," "," "," "
"Grasping"," ","1","4"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","2","3"," "," "
"Keyboarding on phone"," ","3"," "," ","2"," "," "
"Kneeling/squatting"," ","2"," "," ","3"," "," "
"Lifting less than 5 kg"," ","1","4"," "," "," "," "
"Lifting more than 5 kg"," ","5"," "," "," "," "," "
"Other climbing"," ","5"," "," "," "," "," "
"Pinching"," ","2","3"," "," "," "," "
"Pulling less than 5 kg"," ","5"," "," "," "," "," "
"Pulling more than 5 kg"," ","5"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "
"Pushing more than 5 kg"," ","5"," "," "," "," "," "
"Reaching"," ","1","4"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","2","1"," "
"Sitting (Intermittent)"," ","1"," ","1","2","1"," "
"Stair climbing"," ","1"," ","1","3"," "," "
"Standing (Continuous)"," ","2"," ","1","2"," "," "
"Standing (Intermittent)"," "," "," ","1","4"," "," "
"Travel via car required","4"," "," "," "," "," ","1"
"Travel via public transportation required","4"," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," ","1"," "," "
"Use of sharp tools","4"," "," "," "," "," ","1"
"Walking"," "," "," ","1","4"," "," "
"Work only indoors","3"," "," "," "," "," ","2"
"Work outdoors > 5 hour","4"," "," "," "," "," ","1"
"Total","53","56","25","9","33","2","17"
