"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","29"," "," "," "," "," "," "," ","4"
"Bending"," ","3"," "," ","2","27"," ","1"," "
"By hand"," ","8"," "," ","6","19"," "," "," "
"Carrying less than 5 kg"," ","11","18","1"," "," ","3"," "," "
"Carrying more than 5 kg"," ","28","5"," "," "," "," "," "," "
"Congested/cluttered working areas","21"," "," "," "," "," "," "," ","12"
"Exposure to chemicals","29"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","32"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","25"," "," "," "," "," "," "," ","8"
"Exposure to extreme temperatures","30"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," ","23"
"Exposure to insects or animals (e.g. bed bugs, cats)","29"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","23"," "," "," "," "," "," "," ","10"
"Finger dexterity"," ","4","15","8"," "," ","6"," "," "
"Grasping"," ","3","18","6"," "," ","6"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","7","23"," ","3"," "
"Keyboarding on phone"," ","31"," "," ","1","1"," "," "," "
"Kneeling/squatting"," ","5"," "," ","1","26"," ","1"," "
"Lifting less than 5 kg"," ","7","14","7"," "," ","5"," "," "
"Lifting more than 5 kg"," ","18","13","2"," "," "," "," "," "
"Other climbing"," ","32"," "," "," ","1"," "," "," "
"Pinching"," ","7","19","3"," "," ","4"," "," "
"Pulling less than 5 kg"," ","18","12","1"," "," ","2"," "," "
"Pulling more than 5 kg"," ","23","7","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","10","20","1"," "," ","2"," "," "
"Pushing more than 5 kg"," ","14","14","4"," "," ","1"," "," "
"Reaching"," ","3","19","5"," "," ","6"," "," "
"Sitting (Continuous)"," ","8"," "," ","3","20"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","17","12"," ","4"," "
"Stair climbing"," ","13"," "," ","2","17"," ","1"," "
"Standing (Continuous)"," ","2"," "," ","7","16"," ","8"," "
"Standing (Intermittent)"," "," "," "," ","17","3"," ","13"," "
"Travel via car required","28"," "," "," "," "," "," "," ","5"
"Travel via public transportation required","31"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","16"," "," ","1","15"," ","1"," "
"Use of sharp tools","27"," "," "," "," "," "," "," ","6"
"Walking"," "," "," "," ","15","10"," ","8"," "
"Work only indoors","6"," "," "," "," "," "," "," ","27"
"Work outdoors > 1 hour","33"," "," "," "," "," "," "," "," "
"Total","353","264","174","41","79","190","35","42","109"
