"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","3","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","7","2"," "," "
"Independent work"," "," ","5","4","2"," "," "
"Work at a fast pace"," "," ","3","5","3"," "," "
"Work under tight deadlines"," ","2","2","6","1"," "," "
"Work with clients that speak little or no English","3"," "," "," "," ","2","6"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","3","4"
"Work with clients who may be aggressive","8"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","3","7"
"Work with clients with cognitive deficits","1"," "," "," "," ","7","3"
"Work with clients with multiple diagnoses","1"," "," "," "," ","5","5"
"Work with interdisciplinary team members"," "," ","3","6","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","2","3"
"Work with more than one preceptor"," ","3","3","2","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1"," ","9","1"," "," "
"Work with other students"," ","1","1","7","2"," "," "
"Total","30","7","19","46","16","26","32"
