"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","2"
"Bending"," ","1"," "," ","2","8"," "," "," "
"By hand"," ","1"," "," ","2","8"," "," "," "
"Carrying less than 5 kg"," ","2","9"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","8"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","1","8"," "," "," ","2"," "," "
"Grasping"," "," ","10","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","2","6"," "," "," "
"Keyboarding on phone"," ","5"," "," ","1","5"," "," "," "
"Kneeling/squatting"," ","4"," "," ","2","5"," "," "," "
"Lifting less than 5 kg"," ","1","8","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","5","1"," "," "," "," "," "
"Other climbing"," ","9"," "," "," ","2"," "," "," "
"Pinching"," ","1","9","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","10","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","8","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Reaching"," "," ","10","1"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","4","4"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","6","4"," ","1"," "
"Stair climbing"," ","2"," "," ","1","8"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","6"," "," "," "
"Standing (Intermittent)"," "," "," "," ","6","5"," "," "," "
"Travel via car required","9"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","2"
"Twisting /awkward posture"," ","7"," "," "," ","4"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","4","7"," "," "," "
"Work only indoors","4"," "," "," "," "," "," "," ","7"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," ","2"
"Total","113","87","72","5","33","72","3","3","41"
