"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","1","7"," "," "
"Follow multiple step commands"," "," "," "," "," ","9","2"
"Integrating new learning into practice"," "," ","2","2","7"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9","2"
"Practicing good judgement and decision-making"," "," ","3","1","7"," "," "
"Problem solving"," "," ","5"," ","6"," "," "
"Reading electronic documents"," ","2","4","3","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","5","6"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","7","2"
"Self-starting/initiating"," "," ","4","1","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","1","6"," "," "
"Total","2","2","32","16","49","25","6"
