"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," ","4"," "," "," "," "," "," "
"By hand"," ","2"," ","1","1"," "," "," "
"Carrying less than 4 kg"," ","3","1"," "," "," "," "," "
"Carrying more than 4 kg"," ","4"," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," ","1"
"Finger dexterity"," ","2"," "," "," ","2"," "," "
"Grasping"," ","3","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2"," ","2"," "
"Keyboarding on phone"," ","3"," "," ","1"," "," "," "
"Kneeling/squatting"," ","4"," "," "," "," "," "," "
"Lifting less than 4 kg"," ","4"," "," "," "," "," "," "
"Lifting more than 4 kg"," ","4"," "," "," "," "," "," "
"Other climbing"," ","2"," "," ","2"," "," "," "
"Pinching"," ","3","1"," "," "," "," "," "
"Pulling less than 4 kg"," ","4"," "," "," "," "," "," "
"Pulling more than 4 kg"," ","4"," "," "," "," "," "," "
"Pushing less than 4 kg"," ","4"," "," "," "," "," "," "
"Pushing more than 4 kg"," ","4"," "," "," "," "," "," "
"Reaching"," ","3","1"," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," ","2"," ","2"," "
"Sitting (Intermittent)"," "," "," ","1","1"," ","2"," "
"Stair climbing"," ","1"," "," ","3"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3"," "," "," "
"Standing (Intermittent)"," "," "," "," ","4"," "," "," "
"Travel via car required","2"," "," "," "," "," "," ","2"
"Travel via public transportation required","3"," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," "," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","4"," "," "," "
"Work only indoors"," "," "," "," "," "," "," ","4"
"Work outdoors > 2 hour","3"," "," "," "," "," "," ","1"
"Total","45","63","4","2","23","2","6","11"
