"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","7","1","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","2","6"," "," "
"Follow multiple step commands"," "," "," "," "," ","9","3"
"Integrating new learning into practice"," "," ","5","3","4"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","7","4"
"Practicing good judgement and decision-making"," "," ","3","2","7"," "," "
"Problem solving"," "," ","5","2","5"," "," "
"Reading electronic documents"," ","2"," ","8","2"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","6","1"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","8","4"
"Self-starting/initiating"," "," ","7","2","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","6","2","4"," "," "
"Total","1","4","40","28","36","24","11"
