"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","16","7","39"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","12","17","33"," "," "
"Follow multiple step commands","2"," "," "," "," ","49","11"
"Integrating new learning into practice"," "," ","19","15","28"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","46","14"
"Practicing good judgement and decision-making"," "," ","15","7","40"," "," "
"Problem solving"," "," ","21","10","31"," "," "
"Reading electronic documents"," ","7","11","37","7"," "," "
"Reading paper documents (handwritten or typed)"," ","2","18","29","13"," "," "
"Require instant recall of facts/data","4"," "," "," "," ","36","22"
"Self-starting/initiating"," "," ","18","14","30"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","14","13","35"," "," "
"Total","8","9","144","149","256","131","47"
