"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","24","9","43"," "," ",2
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","21","15","40"," "," ",2
"Follow multiple step commands"," "," "," "," "," ","62","14",2
"Integrating new learning into practice"," "," ","20","13","43"," "," ",2
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","62","12",2
"Practicing good judgement and decision-making"," "," ","17","9","50"," "," ",2
"Problem solving"," "," ","25","9","42"," "," ",2
"Reading electronic documents"," ","3","24","40","9"," "," ",2
"Reading paper documents (handwritten or typed)"," ","5","13","49","9"," "," ",2
"Require instant recall of facts/data","1"," "," "," "," ","61","14",2
"Self-starting/initiating"," "," ","30","12","34"," "," ",2
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","16","17","43"," "," ",2
"Total","3","8","190","173","313","185","40",24
