"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","2","4"," "," "
"Follow multiple step commands","2"," "," "," "," ","6","1"
"Integrating new learning into practice"," "," ","3","3","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","3"
"Practicing good judgement and decision-making"," "," ","3","2","4"," "," "
"Problem solving"," "," ","3","2","4"," "," "
"Reading electronic documents"," "," ","3","4","2"," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","9"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","5","3"
"Self-starting/initiating"," "," ","4","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","4","3"," "," "
"Total","3","2","22","29","28","17","7"
