"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," ","1"," "," ","1","5"," "," "," "
"By hand"," ","2"," "," ","1","4"," "," "," "
"Carrying less than 5 kg"," ","2","3","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," ","3"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","1","3","1"," "," ","2"," "," "
"Grasping"," ","1","2","2"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","5"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","2"," "," "," ","5"," "," "," "
"Lifting less than 5 kg"," ","1","4","1"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","2"," "," "," "
"Pinching"," ","2","3"," "," "," ","2"," "," "
"Pulling less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Reaching"," ","1","3","1"," "," ","2"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","5"," ","1"," "
"Stair climbing"," ","1"," "," ","1","5"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","2"," ","2"," "
"Travel via car required","7"," "," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","4"," "," "," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","3"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","5"
"Work outdoors > 5 hour","7"," "," "," "," "," "," "," "," "
"Total","72","60","34","6","15","45","10","5","26"
