"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","3","3"," "," "
"By hand"," ","1"," "," "," ","6"," "," "
"Carrying less than 7 kg"," ","4","3"," "," "," "," "," "
"Carrying more than 7 kg"," ","6","1"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," ","2"
"Exposure to chemicals","7"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","6"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," ","1"
"Exposure to strong odors","6"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","5","1"," "," "," "," "
"Grasping"," ","1","5","1"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2","4"," "," "
"Keyboarding on phone"," ","4"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","3","4"," "," "
"Lifting less than 5 kg"," ","1","5","1"," "," "," "," "
"Lifting more than 7 kg"," ","5","2"," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "
"Pinching"," ","2","4","1"," "," "," "," "
"Pulling less than 7 kg"," ","6","1"," "," "," "," "," "
"Pulling more than 7 kg"," ","5","2"," "," "," "," "," "
"Pushing less than 7 kg"," ","6","1"," "," "," "," "," "
"Pushing more than 7 kg"," ","5","2"," "," "," "," "," "
"Reaching"," ","1","5","1"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","4","1"," "
"Stair climbing"," ","2"," "," "," ","4","1"," "
"Standing (Continuous)"," ","1"," "," ","2","4"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4","1"," "
"Travel via car required","7"," "," "," "," "," "," "," "
"Travel via public transportation required","7"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","3"," "," "
"Use of sharp tools","6"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4","1"," "
"Work only indoors","2"," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","6"," "," "," "," "," "," ","1"
"Total","78","64","36","5","19","47","4","20"
