"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","1"," "
"By hand"," ","1"," "," "," ","3"," "
"Carrying less than 5 kg"," ","2","1","1"," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "
"Exposure to chemicals","4"," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "
"Exposure to extreme temperatures","4"," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "
"Exposure to strong odors","4"," "," "," "," "," "," "
"Finger dexterity"," ","1","2","1"," "," "," "
"Grasping"," ","1","2","1"," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","1"," "
"Keyboarding on phone"," ","4"," "," "," "," "," "
"Kneeling/squatting"," "," "," "," ","2","2"," "
"Lifting less than 5 kg"," ","1","2","1"," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "
"Pinching"," ","2","1","1"," "," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "
"Pushing more than 5 kg"," ","3","1"," "," "," "," "
"Reaching"," ","1","2","1"," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","1","3"," "
"Stair climbing"," ","1"," "," "," ","3"," "
"Standing (Continuous)"," "," "," "," ","1","3"," "
"Standing (Intermittent)"," "," "," "," ","2","2"," "
"Travel via car required","4"," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","1","1"," "
"Use of sharp tools","3"," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","2"," "
"Work only indoors"," "," "," "," "," "," ","4"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "
"Total","48","39","16","6","14","25","8"
