"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","42"," "," "," "," "," "," "," ","4"
"Bending"," ","9"," "," ","6","29"," ","2"," "
"By hand"," ","12"," "," ","8","24"," ","2"," "
"Carrying less than 5 kg"," ","19","22","5"," "," "," "," "," "
"Carrying more than 5 kg"," ","33","9","4"," "," "," "," "," "
"Congested/cluttered working areas","30"," "," "," "," "," "," "," ","16"
"Exposure to chemicals","39"," "," "," "," "," "," "," ","7"
"Exposure to excessive dust","44"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","27"," "," "," "," "," "," "," ","19"
"Exposure to extreme temperatures","44"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","10"," "," "," "," "," "," "," ","36"
"Exposure to insects or animals (e.g. bed bugs, cats)","42"," "," "," "," "," "," "," ","4"
"Exposure to strong odors","20"," "," "," "," "," "," "," ","26"
"Finger dexterity"," ","14","19","7"," "," ","6"," "," "
"Grasping"," ","10","22","10"," "," ","4"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","23","19"," ","3"," "
"Keyboarding on phone"," ","42"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","14"," "," ","3","28"," ","1"," "
"Lifting less than 5 kg"," ","13","25","6"," "," ","2"," "," "
"Lifting more than 5 kg"," ","23","18","5"," "," "," "," "," "
"Other climbing"," ","44"," "," "," ","2"," "," "," "
"Pinching"," ","21","20","4"," "," ","1"," "," "
"Pulling less than 5 kg"," ","26","18","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","24","19","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","19","24","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","16","27","3"," "," "," "," "," "
"Reaching"," ","11","24","6"," "," ","5"," "," "
"Sitting (Continuous)"," ","13"," "," ","8","25"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","19","23"," ","3"," "
"Stair climbing"," ","16"," "," ","2","26"," ","2"," "
"Standing (Continuous)"," ","6"," "," ","6","24"," ","10"," "
"Standing (Intermittent)"," "," "," "," ","19","18"," ","9"," "
"Travel via car required","45"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","43"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","21"," "," ","2","23"," "," "," "
"Use of sharp tools","44"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","10","25"," ","11"," "
"Work only indoors","2"," "," "," "," "," "," "," ","44"
"Work outdoors > 1 hour","46"," "," "," "," "," "," "," "," "
"Total","478","408","247","58","106","270","18","43","166"
