"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","2","7"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","3","1","5"," "," "
"Follow multiple step commands","2"," "," "," "," ","9"," "
"Integrating new learning into practice"," "," ","3","3","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","3"
"Practicing good judgement and decision-making"," "," ","4","1","6"," "," "
"Problem solving"," "," ","3","2","6"," "," "
"Reading electronic documents"," "," ","4","4","3"," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","8"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","6","4"
"Self-starting/initiating"," "," ","5","2","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","5","3"," "," "
"Total","3","2","30","28","39","23","7"
