"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," ","2"
"Bending"," ","1"," "," ","1","10"," ","1"," "
"By hand"," ","2"," "," ","3","8"," "," "," "
"Carrying less than 5 kg"," ","3","7","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","9","1","3"," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","12"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","13"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","12"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","10"
"Exposure to insects or animals (e.g. bed bugs, cats)","12"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","6"," "," "," "," "," "," "," ","7"
"Finger dexterity"," ","5","6","1"," "," ","1"," "," "
"Grasping"," ","2","8","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","7","4"," ","1"," "
"Keyboarding on phone"," ","11"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","2"," "," ","1","10"," "," "," "
"Lifting less than 5 kg"," ","2","9","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","5","2"," "," "," "," "," "
"Other climbing"," ","12"," "," "," ","1"," "," "," "
"Pinching"," ","4","8","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","7","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","8","3","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","7","1"," "," "," "," "," "
"Reaching"," ","2","8","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","7"," "," ","2","4"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","3","10"," "," "," "
"Stair climbing"," ","3"," "," "," ","9"," ","1"," "
"Standing (Continuous)"," ","4"," "," ","2","4"," ","3"," "
"Standing (Intermittent)"," "," "," "," ","3","7"," ","3"," "
"Travel via car required","13"," "," "," "," "," "," "," "," "
"Travel via public transportation required","13"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","7"," "," ","2","4"," "," "," "
"Use of sharp tools","13"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","7"," ","4"," "
"Work only indoors","1"," "," "," "," "," "," "," ","12"
"Work outdoors > 2 hour","13"," "," "," "," "," "," "," "," "
"Total","139","108","74","21","26","80","3","13","43"
