"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","4","6"," "," "," "
"By hand"," ","3"," "," "," ","7"," "," "," "
"Carrying less than 5 kg"," ","2","7","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","5"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","5","4"," "," ","1"," "," "
"Grasping"," "," ","5","5"," "," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","7"," "," "," ","3"," "," "," "
"Kneeling/squatting"," "," "," "," ","3","7"," "," "," "
"Lifting less than 5 kg"," ","1","7","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","2"," "," "," "
"Pinching"," "," ","6","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","6","3","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Reaching"," "," ","5","5"," "," "," "," "," "
"Sitting (Continuous)"," ","1"," "," ","3","5"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","2","4"," ","4"," "
"Stair climbing"," "," "," "," ","3","7"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","5"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","3","5"," ","2"," "
"Travel via car required","9"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","9"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","4"," "," "," ","6"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","4","6"," "," "," "
"Work only indoors","5"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," ","1"
"Total","113","64","57","23","29","68","1","8","27"
