"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","4","2","4"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)","1","3","4","2"," "," "
"Follow multiple step commands"," "," "," "," ","6","4"
"Integrating new learning into practice"," ","4","2","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","7","3"
"Practicing good judgement and decision-making"," ","5","2","3"," "," "
"Problem solving"," ","5","3","2"," "," "
"Reading electronic documents","1","3","6"," "," "," "
"Reading paper documents (handwritten or typed)"," ","5","4","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","5","5"
"Self-starting/initiating"," ","6","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","4","3","3"," "," "
"Total","2","39","27","22","18","12"
