"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","3"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","5"," "," "," "
"Independent work"," "," ","2"," ","4"," "," "
"Work at a fast pace"," "," ","1","5"," "," "," "
"Work under tight deadlines"," ","3","1","2"," "," "," "
"Work with clients that speak little or no English","2"," "," "," "," ","3","1"
"Work with clients who have experienced psychological trauma","3"," "," "," "," "," ","3"
"Work with clients who may be aggressive","3"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","4","2"
"Work with clients with cognitive deficits","1"," "," "," "," ","4","1"
"Work with clients with multiple diagnoses","1"," "," "," "," ","3","2"
"Work with interdisciplinary team members"," ","1"," ","5"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," "," ","1"
"Work with more than one preceptor"," ","3","1","1","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","2"," "," "," "
"Work with other students"," ","1","2","1","2"," "," "
"Total","18","13","7","21","7","14","16"
