"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","11","5","16"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","12","8","10"," "," "
"Follow multiple step commands","4"," "," "," "," ","24","4"
"Integrating new learning into practice"," "," ","11","7","14"," "," "
"Memory aids can be used (e.g. information sheets)","2"," "," "," "," ","24","6"
"Practicing good judgement and decision-making"," "," ","11","6","15"," "," "
"Problem solving"," "," ","13","5","14"," "," "
"Reading electronic documents"," ","3","7","16","6"," "," "
"Reading paper documents (handwritten or typed)"," ","3","5","23","1"," "," "
"Require instant recall of facts/data","8"," "," "," "," ","15","9"
"Self-starting/initiating"," "," ","16","7","9"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","9","11","12"," "," "
"Total","14","8","95","88","97","63","19"
