"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","5"," ","1"," "
"By hand"," ","3"," "," "," ","4"," "," "," "
"Carrying less than 5 kg"," ","1","5","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","5"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","1"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," "," "
"Exposure to strong odors","6"," "," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","2","2"," "," ","3"," "," "
"Grasping"," "," ","2","3"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","4"," "," "," "
"Keyboarding on phone"," ","7"," "," "," "," "," "," "," "
"Kneeling/squatting"," "," "," "," ","1","5"," ","1"," "
"Lifting less than 5 kg"," ","1","4","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","2","5"," "," "," "," "," "," "
"Other climbing"," ","5"," "," "," ","2"," "," "," "
"Pinching"," "," ","4","1"," "," ","2"," "," "
"Pulling less than 5 kg"," ","4","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","1"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","3","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Reaching"," "," ","2","3"," "," ","2"," "," "
"Sitting (Continuous)"," "," "," "," "," ","5"," ","2"," "
"Sitting (Intermittent)"," "," "," "," "," ","3"," ","4"," "
"Stair climbing"," ","1"," "," ","2","3"," ","1"," "
"Standing (Continuous)"," "," "," "," "," ","5"," ","2"," "
"Standing (Intermittent)"," "," "," "," "," ","3"," ","4"," "
"Travel via car required","6"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","6"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," "," ","3"," ","1"," "
"Use of sharp tools","6"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," ","1"," "
"Work only indoors","2"," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","7"," "," "," "," "," "," "," "," "
"Total","84","42","37","15","9","46","9","17","14"
