"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," ","2"
"Bending"," ","2"," "," ","2","6"," ","1"," "
"By hand"," ","6"," "," "," ","5"," "," "," "
"Carrying less than 5 kg"," ","3","7","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," "," ","3"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","8"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","9"," "," "," "," "," "," "," ","2"
"Finger dexterity"," ","2","3","3"," "," ","3"," "," "
"Grasping"," ","1","3","5"," "," ","2"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","7"," "," "," "
"Keyboarding on phone"," ","9"," "," "," ","2"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","8"," ","1"," "
"Lifting less than 5 kg"," ","2","7","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","4","1"," "," "," "," "," "
"Other climbing"," ","8"," "," ","1","2"," "," "," "
"Pinching"," ","2","4","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","3","7","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Reaching"," ","1","3","5"," "," ","2"," "," "
"Sitting (Continuous)"," ","2"," "," "," ","7"," ","2"," "
"Sitting (Intermittent)"," ","1"," "," ","3","3"," ","4"," "
"Stair climbing"," ","2"," "," ","2","6"," ","1"," "
"Standing (Continuous)"," ","1"," "," ","1","7"," ","2"," "
"Standing (Intermittent)"," ","1"," "," ","1","5"," ","4"," "
"Travel via car required","9"," "," "," "," "," "," "," ","2"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","4"," "," "," ","6"," ","1"," "
"Use of sharp tools","8"," "," "," "," "," "," "," ","3"
"Walking"," ","1"," "," ","2","7"," ","1"," "
"Work only indoors","4"," "," "," "," "," "," "," ","7"
"Work outdoors > 2 hour","10"," "," "," "," "," "," "," ","1"
"Total","122","86","53","22","17","71","9","17","32"
