"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "," "
"Bending"," ","2"," "," "," ","2"," "," "," "
"By hand"," ","1"," "," ","1","1"," ","1"," "
"Carrying less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Carrying more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","4"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," "," "
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","1","1"," "," ","1"," "," "
"Grasping"," "," ","3","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","1"," ","2"," "
"Keyboarding on phone"," ","4"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","3"," "," "," "
"Lifting less than 5 kg"," ","1","2","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "," "
"Pinching"," ","2","2"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4"," "," "," "," "," "," "," "
"Reaching"," ","1","3"," "," "," "," "," "," "
"Sitting (Continuous)"," "," "," "," "," ","2"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","1","1"," ","2"," "
"Stair climbing"," ","1"," "," "," ","3"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","2"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","2","1"," ","1"," "
"Travel via car required","4"," "," "," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","2"," "," "," ","2"," "," "," "
"Use of sharp tools","2"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","1","3"," "," "," "
"Work only indoors","2"," "," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "," ","1"
"Total","44","43","15","3","7","22","1","9","12"
