"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","6"," "," "," "," ","3","10"
"Group work (e.g. Client and family meetings, team meetings)"," ","2"," ","17"," "," "," "
"Independent work"," "," ","5","12","2"," "," "
"Work at a fast pace"," ","1","5","5","8"," "," "
"Work under tight deadlines"," ","2","5","11","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","8","11"
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","3","9"
"Work with clients who may be aggressive","7"," "," "," "," ","2","10"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","9","9"
"Work with clients with cognitive deficits"," "," "," "," "," ","13","6"
"Work with clients with multiple diagnoses"," "," "," "," "," ","17","2"
"Work with interdisciplinary team members"," "," ","3","14","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","6"," "," "," "," ","7","6"
"Work with more than one preceptor"," ","11","2","3","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","2","4","11","2"," "," "
"Work with other students"," ","8","1","10"," "," "," "
"Total","27","26","25","83","18","62","63"
