"Question","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2","2","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","3","1","9"," "," "
"Follow multiple step commands"," "," "," "," ","11","2"
"Integrating new learning into practice"," ","1","2","10"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","10","3"
"Practicing good judgement and decision-making"," ","1","2","10"," "," "
"Problem solving"," ","2","2","9"," "," "
"Reading electronic documents"," ","6","5","2"," "," "
"Reading paper documents (handwritten or typed)","1","4","7","1"," "," "
"Require instant recall of facts/data"," "," "," "," ","11","2"
"Self-starting/initiating"," ","3","3","7"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","2","8"," "," "
"Total","1","25","26","65","32","7"
