"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","5","2","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","4"," ","5"," "," "
"Follow multiple step commands","1"," "," "," "," ","6","3"
"Integrating new learning into practice"," "," ","4","1","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7","3"
"Practicing good judgement and decision-making"," "," ","4","1","5"," "," "
"Problem solving"," "," ","5","2","3"," "," "
"Reading electronic documents"," "," ","5","5"," "," "," "
"Reading paper documents (handwritten or typed)"," ","2","2","6"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","6","3"
"Self-starting/initiating"," "," ","5","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","5"," "," "
"Total","2","3","37","20","30","19","9"
