"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","71"," "," "," "," "," "," "," ","5"
"Bending"," ","9"," "," ","12","53"," ","2"," "
"By hand"," ","8"," "," ","22","38"," ","8"," "
"Carrying less than 5 kg"," ","17","43","12"," "," ","4"," "," "
"Carrying more than 5 kg"," ","55","19","2"," "," "," "," "," "
"Congested/cluttered working areas","51"," "," "," "," "," "," "," ","25"
"Exposure to chemicals","72"," "," "," "," "," "," "," ","4"
"Exposure to excessive dust","75"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","56"," "," "," "," "," "," "," ","20"
"Exposure to extreme temperatures","73"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","27"," "," "," "," "," "," "," ","49"
"Exposure to insects or animals (e.g. bed bugs, cats)","69"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","53"," "," "," "," "," "," "," ","23"
"Finger dexterity"," ","9","34","14"," "," ","19"," "," "
"Grasping"," ","4","33","18"," "," ","21"," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","18","51"," ","4"," "
"Keyboarding on phone"," ","66"," "," ","1","9"," "," "," "
"Kneeling/squatting"," ","17"," "," ","6","51"," ","2"," "
"Lifting less than 5 kg"," ","11","38","19"," "," ","8"," "," "
"Lifting more than 5 kg"," ","39","29","7"," "," ","1"," "," "
"Other climbing"," ","72"," "," ","1","3"," "," "," "
"Pinching"," ","14","36","14"," "," ","12"," "," "
"Pulling less than 5 kg"," ","38","30","5"," "," ","3"," "," "
"Pulling more than 5 kg"," ","40","30","5"," "," ","1"," "," "
"Pushing less than 5 kg"," ","28","36","7"," "," ","5"," "," "
"Pushing more than 5 kg"," ","20","35","15"," "," ","6"," "," "
"Reaching"," ","3","32","22"," "," ","19"," "," "
"Sitting (Continuous)"," ","14"," "," ","6","55"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","33","39"," ","4"," "
"Stair climbing"," ","38"," "," ","1","36"," ","1"," "
"Standing (Continuous)"," ","6"," "," ","21","38"," ","11"," "
"Standing (Intermittent)"," "," "," "," ","38","18"," ","20"," "
"Travel via car required","69"," "," "," "," "," "," "," ","7"
"Travel via public transportation required","70"," "," "," "," "," "," "," ","6"
"Twisting /awkward posture"," ","41"," "," ","3","32"," "," "," "
"Use of sharp tools","69"," "," "," "," "," "," "," ","7"
"Walking"," ","1"," "," ","29","23"," ","23"," "
"Work only indoors","9"," "," "," "," "," "," "," ","67"
"Work outdoors > 2 hour","76"," "," "," "," "," "," "," "," "
"Total","840","553","395","140","191","446","99","76","224"
