"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","47"," "," "," "," "," "," "," ","3"
"Bending"," ","14"," "," ","2","34"," "," "," "
"By hand"," ","3"," "," ","12","29"," ","6"," "
"Carrying less than 5 kg"," ","13","32","3"," "," ","2"," "," "
"Carrying more than 5 kg"," ","33","13","4"," "," "," "," "," "
"Congested/cluttered working areas","38"," "," "," "," "," "," "," ","12"
"Exposure to chemicals","49"," "," "," "," "," "," "," ","1"
"Exposure to excessive dust","49"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","39"," "," "," "," "," "," "," ","11"
"Exposure to extreme temperatures","47"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","34"," "," "," "," "," "," "," ","16"
"Exposure to insects or animals (e.g. bed bugs, cats)","48"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","45"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","5","23","10"," "," ","12"," "," "
"Grasping"," ","3","24","10"," "," ","13"," "," "
"Keyboarding on computer or tablet"," ","5"," "," ","12","30"," ","3"," "
"Keyboarding on phone"," ","42"," "," ","1","7"," "," "," "
"Kneeling/squatting"," ","25"," "," ","2","23"," "," "," "
"Lifting less than 5 kg"," ","11","26","7"," "," ","6"," "," "
"Lifting more than 5 kg"," ","27","18","5"," "," "," "," "," "
"Other climbing"," ","45"," "," "," ","5"," "," "," "
"Pinching"," ","8","25","8"," "," ","9"," "," "
"Pulling less than 5 kg"," ","32","16","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","36","11","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","27","21"," "," "," ","2"," "," "
"Pushing more than 5 kg"," ","30","16","4"," "," "," "," "," "
"Reaching"," ","6","26","6"," "," ","12"," "," "
"Sitting (Continuous)"," ","10"," "," ","9","25"," ","6"," "
"Sitting (Intermittent)"," ","1"," "," ","27","15"," ","7"," "
"Stair climbing"," ","27"," "," ","1","22"," "," "," "
"Standing (Continuous)"," ","14"," "," ","12","23"," ","1"," "
"Standing (Intermittent)"," ","2"," "," ","21","22"," ","5"," "
"Travel via car required","44"," "," "," "," "," "," "," ","6"
"Travel via public transportation required","47"," "," "," "," "," "," "," ","3"
"Twisting /awkward posture"," ","30"," "," ","1","19"," "," "," "
"Use of sharp tools","35"," "," "," "," "," "," "," ","15"
"Walking"," ","2"," "," ","8","40"," "," "," "
"Work only indoors","11"," "," "," "," "," "," "," ","39"
"Work outdoors > 1 hour","48"," "," "," "," "," "," "," ","2"
"Total","581","451","251","61","108","294","57","28","119"
