"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","2"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," ","1"," "," "
"Follow multiple step commands"," "," "," "," "," ","2","1"
"Integrating new learning into practice"," "," "," ","1","2"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","3"," "
"Practicing good judgement and decision-making"," "," ","1"," ","2"," "," "
"Problem solving"," "," ","1"," ","2"," "," "
"Reading electronic documents"," ","1","1","1"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","1","2"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","1","1"
"Self-starting/initiating"," "," ","1"," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2"," ","1"," "," "
"Total","1","1","9","5","12","6","2"
