"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","3"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","1","3"," "," "," "
"Independent work"," "," ","3","1","2"," "," "
"Work at a fast pace"," ","1","2","2","1"," "," "
"Work under tight deadlines"," ","2","2","1","1"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","4"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","2","3"
"Work with clients who may be aggressive","4"," "," "," "," ","1","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","1"
"Work with clients with cognitive deficits","2"," "," "," "," ","3","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","2"
"Work with interdisciplinary team members"," "," ","2","4"," "," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","2","3"
"Work with more than one preceptor"," "," ","3"," ","3"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," "," "," "," "," "
"Work with other students"," ","1","1","3","1"," "," "
"Total","11","12","14","14","8","19","18"
