"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," "," ","2"
"Group work (e.g. Client and family meetings, team meetings)"," ","1"," ","4"," "," "," "
"Independent work"," "," ","3","1","1"," "," "
"Work at a fast pace"," "," "," ","4","1"," "," "
"Work under tight deadlines"," ","1","1","3"," "," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","3"
"Work with clients who have experienced psychological trauma","3"," "," "," "," ","1","1"
"Work with clients who may be aggressive","3"," "," "," "," "," ","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","3","2"
"Work with clients with cognitive deficits","1"," "," "," "," ","1","3"
"Work with clients with multiple physhealthnoses"," "," "," "," "," ","5"," "
"Work with interdisciplinary team members"," "," "," ","3","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","2","1"
"Work with more than one preceptor"," "," ","1","2","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1"," ","4"," "," "," "
"Work with other students"," ","1","2","2"," "," "," "
"Total","12","4","7","23","6","14","14"
