"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","1","2","1"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","1","2","1"," "," "
"Follow multiple step commands"," "," "," "," "," ","2","2"
"Integrating new learning into practice"," "," "," ","3","1"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4"," "
"Practicing good judgement and decision-making"," "," ","2","1","1"," "," "
"Problem solving"," "," ","2","1","1"," "," "
"Reading electronic documents"," ","2"," ","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","3","1"," "," "
"Require instant recall of facts/data","2"," "," "," "," ","1","1"
"Self-starting/initiating"," "," "," ","2","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","1"," "," "
"Total","2","2","8","17","9","7","3"
