"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","9"," "," "," "
"By hand"," ","1"," "," ","1","9"," "," "," "
"Carrying less than 5 kg"," ","3","6","1"," "," ","1"," "," "
"Carrying more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," "," ","5"
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","6"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","8"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","5","2"," "," ","4"," "," "
"Grasping"," "," ","5","3"," "," ","3"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," ","1"," "
"Keyboarding on phone"," ","8"," "," "," ","3"," "," "," "
"Kneeling/squatting"," ","2"," "," ","3","6"," "," "," "
"Lifting less than 5 kg"," ","2","6","1"," "," ","2"," "," "
"Lifting more than 5 kg"," ","5","6"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","3"," "," "," "
"Pinching"," "," ","6","3"," "," ","2"," "," "
"Pulling less than 5 kg"," ","5","6"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","5"," "," "," "," "," "," "
"Reaching"," "," ","5","4"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," ","4","4"," ","2"," "
"Sitting (Intermittent)"," "," "," "," ","3","4"," ","4"," "
"Stair climbing"," ","3"," "," ","1","7"," "," "," "
"Standing (Continuous)"," ","2"," "," ","3","5"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","5"," ","2"," "
"Travel via car required","8"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","11"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","1","8"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","2","9"," "," "," "
"Work only indoors","3"," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","10"," "," "," "," "," "," "," ","1"
"Total","118","67","65","14","28","77","14","10","36"
