"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","2"," ","4"," "," "
"Follow multiple step commands","1"," "," "," "," ","4","2"
"Integrating new learning into practice"," "," ","2","1","4"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","4","2"
"Practicing good judgement and decision-making"," "," ","2","1","4"," "," "
"Problem solving"," "," ","3","1","3"," "," "
"Reading electronic documents"," "," ","2","5"," "," "," "
"Reading paper documents (handwritten or typed)"," "," "," ","7"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","3","3"
"Self-starting/initiating"," "," ","5"," ","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","2","3"," "," "
"Total","3","1","21","18","23","11","7"
